round,number,driver,raw_status,started,on_road_finish,note,source
8,10,Pierre GaslyGAS,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,14,Fernando AlonsoALO,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,3,Daniel RicciardoRIC,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,77,Valtteri BottasBOT,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,18,Lance StrollSTR,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,2,Logan SargeantSAR,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,24,Zhou GuanyuZHO,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,31,Esteban OconOCO,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,11,Sergio PerezPER,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,27,Nico HulkenbergHUL,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,20,Kevin MagnussenMAG,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
9,1,Max VerstappenVER,1:45:47.927,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,4,Lando NorrisNOR,+3.879s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,63,George RussellRUS,+4.317s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,44,Lewis HamiltonHAM,+4.915s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,81,Oscar PiastriPIA,+10.199s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,14,Fernando AlonsoALO,+17.510s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,18,Lance StrollSTR,+23.625s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
9,3,Daniel RicciardoRIC,+28.672s,1,1,,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
